scenario,year,powertrain,age,n,production_year,vmt_bucket,mpg,mpge,l_100km,l_100kme,ev_range,batt_kwh,vmt,current_or_disposed,uf,weight_lbs,n_year_powertrain,proportion,n_year,high_VMT_prop,vmt_old,production_ghg,has_ice,ev_range_estim,uf_from_range,uf_real,ghg_mile_gas,ghg_mile_electric,ghg_mile_combined,use_ghg
default,0,hev,36.0,0.0,1989.0,high,,,,,,,7548.4858101699,current,,,,,,,,,,,,,,,,
default,0,icev,36.0,301321.1565572442,1989.0,high,18.9298531492139,inf,12.4253473149509,0.0,0.0,0.0,7548.4858101699,current,,,,,,,,,,,,,,,,
default,0,phev,36.0,0.0,1989.0,high,,,,,,,7548.4858101699,current,,,,,,,,,,,,,,,,
default,0,bev,37.0,0.0,1988.0,high,,,,,,,7160.6061742542,current,,,,,,,,,,,,,,,,
default,0,hev,37.0,0.0,1988.0,high,,,,,,,7160.6061742542,current,,,,,,,,,,,,,,,,
default,0,icev,37.0,288782.5972057214,1988.0,high,18.587925987298,inf,12.6539130917957,0.0,0.0,0.0,7160.6061742542,current,,,,,,,,,,,,,,,,
default,0,phev,37.0,0.0,1988.0,high,,,,,,,7160.6061742542,current,,,,,,,,,,,,,,,,
default,0,bev,38.0,0.0,1987.0,high,,,,,,,6770.46738145321,current,,,,,,,,,,,,,,,,
default,0,hev,38.0,0.0,1987.0,high,,,,,,,6770.46738145321,current,,,,,,,,,,,,,,,,
default,0,icev,38.0,278792.27035325416,1987.0,high,19.3732486815958,inf,12.1409683974916,0.0,0.0,0.0,6770.46738145321,current,,,,,,,,,,,,,,,,
default,0,phev,38.0,0.0,1987.0,high,,,,,,,6770.46738145321,current,,,,,,,,,,,,,,,,
default,0,bev,39.0,0.0,1986.0,high,,,,,,,6378.06943176693,current,,,,,,,,,,,,,,,,
default,0,hev,39.0,0.0,1986.0,high,,,,,,,6378.06943176693,current,,,,,,,,,,,,,,,,
default,0,icev,39.0,270796.48563945293,1986.0,high,18.4765982645919,inf,12.7301571767542,0.0,0.0,0.0,6378.06943176693,current,,,,,,,,,,,,,,,,
default,0,phev,39.0,0.0,1986.0,high,,,,,,,6378.06943176693,current,,,,,,,,,,,,,,,,
default,0,bev,40.0,0.0,1985.0,high,,,,,,,5983.41232519534,current,,,,,,,,,,,,,,,,
default,0,hev,40.0,0.0,1985.0,high,,,,,,,5983.41232519534,current,,,,,,,,,,,,,,,,
default,0,icev,40.0,264370.18548818404,1985.0,high,18.0886072638606,inf,13.0032122743871,0.0,0.0,0.0,5983.41232519534,current,,,,,,,,,,,,,,,,
default,0,phev,40.0,0.0,1985.0,high,,,,,,,5983.41232519534,current,,,,,,,,,,,,,,,,
default,0,bev,41.0,0.0,1984.0,high,,,,,,,5586.49606173846,current,,,,,,,,,,,,,,,,
default,0,hev,41.0,0.0,1984.0,high,,,,,,,5586.49606173846,current,,,,,,,,,,,,,,,,
default,0,icev,41.0,259185.21747227965,1984.0,high,17.2075256884036,inf,13.6690192569935,0.0,0.0,0.0,5586.49606173846,current,,,,,,,,,,,,,,,,
default,0,phev,41.0,0.0,1984.0,high,,,,,,,5586.49606173846,current,,,,,,,,,,,,,,,,
default,0,bev,42.0,0.0,1983.0,high,,,,,,,5187.32064139628,current,,,,,,,,,,,,,,,,
default,0,hev,42.0,0.0,1983.0,high,,,,,,,5187.32064139628,current,,,,,,,,,,,,,,,,
default,0,icev,42.0,254986.8026486862,1983.0,high,17.2075256884036,inf,13.6690192569935,0.0,0.0,0.0,5187.32064139628,current,,,,,,,,,,,,,,,,
default,0,phev,42.0,0.0,1983.0,high,,,,,,,5187.32064139628,current,,,,,,,,,,,,,,,,
default,0,bev,43.0,0.0,1982.0,high,,,,,,,4785.8860641688,current,,,,,,,,,,,,,,,,
default,0,hev,43.0,0.0,1982.0,high,,,,,,,4785.8860641688,current,,,,,,,,,,,,,,,,
default,0,icev,43.0,251576.02510086916,1982.0,high,17.2075256884036,inf,13.6690192569935,0.0,0.0,0.0,4785.8860641688,current,,,,,,,,,,,,,,,,
default,0,phev,43.0,0.0,1982.0,high,,,,,,,4785.8860641688,current,,,,,,,,,,,,,,,,
default,0,bev,44.0,0.0,1981.0,high,,,,,,,4382.19233005603,current,,,,,,,,,,,,,,,,
default,0,hev,44.0,0.0,1981.0,high,,,,,,,4382.19233005603,current,,,,,,,,,,,,,,,,
default,0,icev,44.0,248796.7455423475,1981.0,high,17.2075256884036,inf,13.6690192569935,0.0,0.0,0.0,4382.19233005603,current,,,,,,,,,,,,,,,,
default,0,phev,44.0,0.0,1981.0,high,,,,,,,4382.19233005603,current,,,,,,,,,,,,,,,,
default,0,bev,45.0,0.0,1980.0,high,,,,,,,3976.23943905796,current,,,,,,,,,,,,,,,,
default,0,hev,45.0,0.0,1980.0,high,,,,,,,3976.23943905796,current,,,,,,,,,,,,,,,,
default,0,icev,45.0,246525.77217938134,1980.0,high,17.2075256884036,inf,13.6690192569935,0.0,0.0,0.0,3976.23943905796,current,,,,,,,,,,,,,,,,
default,0,phev,45.0,0.0,1980.0,high,,,,,,,3976.23943905796,current,,,,,,,,,,,,,,,,
default,0,bev,46.0,0.0,1979.0,high,,,,,,,3568.02739117459,current,,,,,,,,,,,,,,,,
default,0,hev,46.0,0.0,1979.0,high,,,,,,,3568.02739117459,current,,,,,,,,,,,,,,,,
default,0,icev,46.0,244665.4349678317,1979.0,high,17.2075256884036,inf,13.6690192569935,0.0,0.0,0.0,3568.02739117459,current,,,,,,,,,,,,,,,,
default,0,phev,46.0,0.0,1979.0,high,,,,,,,3568.02739117459,current,,,,,,,,,,,,,,,,
default,0,bev,47.0,0.0,1978.0,high,,,,,,,3157.55618640593,current,,,,,,,,,,,,,,,,
