scenario,year,powertrain,age,n,production_year,vmt_bucket,mpg,mpge,l_100km,l_100kme,ev_range,batt_kwh,vmt,uf,weight_lbs,n_year_powertrain,proportion,n_year,high_VMT_prop,ghg_cost_x_n,vmt_old,production_ghg,has_ice,ev_range_estim,uf_from_range,uf_real,ghg_mile_gas,ghg_mile_electric,ghg_mile_combined,use_ghg
default,0,bev,46.0,0.0,1979.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,46.0,0.0,1979.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,46.0,1860.3372195442762,1979.0,high,,,,,,,,,,,,,,5208944.214723974,,,,,,,,,,
default,0,phev,46.0,0.0,1979.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,47.0,0.0,1978.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,47.0,0.0,1978.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,47.0,1527.4905945738506,1978.0,high,,,,,,,,,,,,,,4276973.664806781,,,,,,,,,,
default,0,phev,47.0,0.0,1978.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,48.0,0.0,1977.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,48.0,0.0,1977.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,48.0,1256.863673686509,1977.0,high,,,,,,,,,,,,,,3519218.286322225,,,,,,,,,,
default,0,phev,48.0,0.0,1977.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,49.0,0.0,1976.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,49.0,0.0,1976.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,49.0,1036.2006502259792,1976.0,high,,,,,,,,,,,,,,2901361.820632742,,,,,,,,,,
default,0,phev,49.0,0.0,1976.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
